permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank,row_id,gvkey,iid,cusip,cik,cik_norm,conm,filing_date,form_type,accession_number,file_name,file_path
22103,20643,2010-12-31,57.17,754285.0,43122473.45,EMR,EMERSON ELECTRIC CO,11,1,29101110,58,57,004321,01,291011104,0000032604,32604,EMERSON ELECTRIC CO,2010-11-23,10-K,0001144204-10-063258,20101123_10-K_edgar_data_32604_0001144204-10-063258.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101123_10-K_edgar_data_32604_0001144204-10-063258.txt
49154,20561,2010-12-31,60.13,708082.0,42576970.66,TGT,TARGET CORP,11,1,87612E10,59,58,003813,01,87612E106,0000027419,27419,TARGET CORP,,,,,
10145,22168,2010-12-31,53.16,780173.0,41473996.68,HON,HONEYWELL INTERNATIONAL INC,11,1,43851610,60,59,001300,01,438516106,0000773840,773840,HONEYWELL INTERNATIONAL INC,,,,,
82800,31574,2010-12-31,48.74,850000.0,41429000.0,SCCO,SOUTHERN COPPER CORP,11,1,84265V10,61,60,061811,01,84265V105,0001001838,1001838,SOUTHERN COPPER CORP,,,,,
69032,21224,2010-12-31,27.21,1512877.0,41165383.17,MS,MORGAN STANLEY DEAN WITTER & CO,11,1,61744644,62,61,012124,01,617446448,0000895421,895421,MORGAN STANLEY,,,,,
50876,21102,2010-12-31,35.04,1153143.0,40406130.72,LLY,LILLY ELI & CO,11,1,53245710,63,62,006730,01,532457108,0000059478,59478,LILLY (ELI) & CO,,,,,
60097,2850,2010-12-31,37.09,1073476.0,39815224.84,MDT,MEDTRONIC INC,11,1,58505510,64,63,007228,01,G5960L103,0001613103,1613103,MEDTRONIC PLC,,,,,
92655,7267,2010-12-31,36.11,1099938.0,39718761.18,UNH,UNITEDHEALTH GROUP INC,11,1,91324P10,65,64,010903,01,91324P102,0000731766,731766,UNITEDHEALTH GROUP INC,,,,,
20626,20597,2010-12-31,34.14,1160716.0,39626844.24,DOW,DOW CHEMICAL CO,11,1,26054310,66,65,034443,01,260557103,0001751788,1751788,DOW INC,,,,,
18729,20473,2010-12-31,80.37,482684.0,38793313.080000006,CL,COLGATE PALMOLIVE CO,11,1,19416210,67,66,003170,01,194162103,0000021665,21665,COLGATE-PALMOLIVE CO,,,,,
66800,137,2010-12-31,57.62,672138.0,38728591.56,AIG,AMERICAN INTERNATIONAL GROUP INC,11,1,02687478,68,67,001487,01,026874784,0000005272,5272,AMERICAN INTERNATIONAL GROUP,,,,,
15579,21737,2010-12-31,32.5,1174157.0,38160102.5,TXN,TEXAS INSTRUMENTS INC,11,1,88250810,69,68,010499,01,882508104,0000097476,97476,TEXAS INSTRUMENTS INC,,,,,
70332,20194,2010-12-31,76.16,495592.0,37744286.72,APC,ANADARKO PETROLEUM CORP,11,1,03251110,70,69,031371,01,04124A100,0002080921,2080921,ARKO PETROLEUM CORP,,,,,
49656,20265,2010-12-31,30.2,1240454.0,37461710.8,BK,BANK OF NEW YORK MELLON CORP,11,1,06405810,71,70,002019,01,064058100,0001390777,1390777,BANK OF NEW YORK MELLON CORP,,,,,
23819,20868,2010-12-31,40.83,916960.0,37439476.8,HAL,HALLIBURTON CO,11,1,40621610,72,71,005439,01,406216101,0000045012,45012,HALLIBURTON CO,,,,,
88668,40148,2010-12-31,69.64,536447.0,37358169.08,MON,MONSANTO CO NEW,11,1,61166W10,73,72,037606,02,61531M101,0001828325,1828325,MONUMENT CIRC ACQ CORP -REDH,,,,,
86356,16285,2010-12-31,27.83,1297710.0,36115269.3,EBAY,EBAY INC,11,3,27864210,74,73,114524,01,278642103,0001065088,1065088,EBAY INC,,,,,
19502,21881,2010-12-31,38.96,925764.0,36067765.44,WAG,WALGREEN CO,11,1,93142210,75,74,<NA>,,,,,,,,,,
77418,11412,2010-12-31,32.17,1109297.0,35686084.49,TWX,TIME WARNER INC NEW,11,1,88731730,76,75,025056,01,887317303,0001105705,1105705,TIME WARNER INC,,,,,
19350,20566,2010-12-31,83.05,422711.0,35106148.55,DE,DEERE & CO,11,1,24419910,77,76,003835,01,244199105,0000315189,315189,DEERE & CO,2010-12-17,10-K,0001104659-10-063219,20101217_10-K_edgar_data_315189_0001104659-10-063219.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101217_10-K_edgar_data_315189_0001104659-10-063219.txt
92611,52983,2010-12-31,70.38,496799.0,34964713.62,V,VISA INC,11,1,92826C83,78,77,179534,01,92826C839,0001403161,1403161,VISA INC,2010-11-19,10-K,0001193125-10-265236,20101119_10-K_edgar_data_1403161_0001193125-10-265236.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101119_10-K_edgar_data_1403161_0001193125-10-265236.txt
61399,2709,2010-12-31,25.08,1380004.0,34610500.32,LOW,LOWES COMPANIES INC,11,1,54866110,79,78,006829,01,548661107,0000060667,60667,LOWE'S COS INC,,,,,
90386,45695,2010-12-31,76.36,445654.0,34030139.44,MOS,MOSAIC CO,11,1,61945A10,80,79,162129,01,61945C103,0001285785,1285785,MOSAIC CO,,,,,
87137,35222,2010-12-31,78.51,431900.0,33908469.0,DVN,DEVON ENERGY CORP NEW,11,1,25179M10,81,80,014934,01,25179M103,0001090012,1090012,DEVON ENERGY CORP,,,,,
57665,3194,2010-12-31,85.42,387883.0,33132965.86,NKE,NIKE INC,11,1,65410610,82,81,007906,01,654106103,0000320187,320187,NIKE INC  -CL B,,,,,
89954,44708,2010-12-31,39.93,808447.0,32281288.71,DTV,DIRECTV,11,3,25490A10,83,82,003897,04,233331883,0000936340,936340,DTE ENERGY CO,,,,,
60442,3685,2010-12-31,60.72,525796.0,31926333.12,PNC,P N C FINANCIAL SERVICES GRP INC,11,1,69347510,84,83,008245,01,693475105,0000713676,713676,PNC FINANCIAL SVCS GROUP INC,,,,,
18411,21640,2010-12-31,38.23,830706.0,31757890.38,SO,SOUTHERN CO,11,1,84258710,85,84,009850,01,842587107,0000092122,92122,SOUTHERN CO,,,,,
87055,7882,2010-12-31,72.21,436525.0,31521470.25,COST,COSTCO WHOLESALE CORP NEW,11,3,22160K10,86,85,029028,01,22160K105,0000909832,909832,COSTCO WHOLESALE CORP,2010-10-18,10-K,0001193125-10-230379,20101018_10-K_edgar_data_909832_0001193125-10-230379.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101018_10-K_edgar_data_909832_0001193125-10-230379.txt
90505,46024,2010-12-31,45.95,684730.0,31463343.500000004,LVS,LAS VEGAS SANDS CORP,11,1,51783410,87,86,161844,01,517834107,0001300514,1300514,LAS VEGAS SANDS CORP,,,,,
49680,20557,2010-12-31,47.17,653954.0,30847010.18,DHR,DANAHER CORP,11,1,23585110,88,87,003735,01,235851102,0000313616,313616,DANAHER CORP,,,,,
22293,20523,2010-12-31,19.32,1562879.0,30194822.28,GLW,CORNING INC,11,1,21935010,89,88,003532,01,219350105,0000024741,24741,CORNING INC,,,,,
21207,21286,2010-12-31,61.43,486198.0,29867143.14,NEM,NEWMONT MINING CORP,11,1,65163910,90,89,007881,01,651639106,0001164727,1164727,NEWMONT CORP,,,,,
27887,20277,2010-12-31,50.62,582727.0,29497640.74,BAX,BAXTER INTERNATIONAL INC,11,1,07181310,91,90,002086,01,071813109,0000010456,10456,BAXTER INTERNATIONAL INC,,,,,
60628,1685,2010-12-31,93.01,315021.0,29300103.21,FDX,FEDEX CORP,11,1,31428X10,92,91,004598,01,31428X106,0001048911,1048911,FEDEX CORP,,,,,
77768,29540,2010-12-31,95.47,306380.0,29250098.6,PX,PRAXAIR INC,11,1,74005P10,93,92,<NA>,,,,,,,,,,
77274,11300,2010-12-31,36.24,801998.0,29064407.520000003,GILD,GILEAD SCIENCES INC,11,3,37555810,94,93,024856,01,375558103,0000882095,882095,GILEAD SCIENCES INC,,,,,
77668,11569,2010-12-31,54.05,528069.0,28542129.45,ESRX,EXPRESS SCRIPTS INC,11,3,30218210,95,94,025356,01,30219G108,0001532063,1532063,EXPRESS SCRIPTS HOLDING CO,,,,,
89258,42524,2010-12-31,58.71,483349.0,28377419.79,PRU,PRUDENTIAL FINANCIAL INC,11,1,74432010,96,95,143356,01,744320102,0001137774,1137774,PRUDENTIAL FINANCIAL INC,,,,,
84032,31769,2010-12-31,67.25,419635.0,28220453.75,NOV,NATIONAL OILWELL VARCO INC,11,1,63707110,97,96,063892,01,62955J103,0001021860,1021860,NOV INC,,,,,
11552,9374,2010-12-31,59.14,470388.0,27818746.32,CELG,CELGENE CORP,11,3,15102010,98,97,013599,01,151020104,0000816284,816284,CELGENE CORP,,,,,
21776,21396,2010-12-31,41.64,661413.0,27541237.32,EXC,EXELON CORP,11,1,30161N10,99,98,008539,01,30161N101,0001109357,1109357,EXELON CORP,,,,,
91233,50700,2010-12-31,224.11,122530.0,27460198.3,MA,MASTERCARD INC,11,1,57636Q10,100,99,160225,01,57636Q104,0001141391,1141391,MASTERCARD INC,,,,,
12052,20791,2010-12-31,70.96,377744.0,26804714.24,GD,GENERAL DYNAMICS CORP,11,1,36955010,101,100,005046,01,369550108,0000040533,40533,GENERAL DYNAMICS CORP,,,,,
57904,92,2010-12-31,56.43,471261.0,26593258.23,AFL,AFLAC INC,11,1,00105510,102,101,001449,01,001055102,0000004977,4977,AFLAC INC,,,,,
90441,21287,2010-12-31,14.56,1822302.0,26532717.12,NWSA,NEWS CORP,11,3,65248E10,103,102,018043,01,65249B109,0001564708,1564708,NEWS CORP,,,,,
56573,20968,2010-12-31,53.4,495931.0,26482715.4,ITW,ILLINOIS TOOL WORKS INC,11,1,45230810,104,103,005878,01,452308109,0000049826,49826,ILLINOIS TOOL WORKS,,,,,
