gvkey,iid,gvkeyx,from,thru,tic,cik,fdate,form,coname,fname
005071,01,000003,1969-03-31,,GIS,0000040704,,,,
005073,19,000003,2013-06-07,,GM,0001467858,,,,
005125,01,000003,1973-12-31,,GPC,0000040987,,,,
005256,01,000003,1981-06-30,,GWW,0000277135,,,,
005439,01,000003,1964-03-31,,HAL,0000045012,,,,
005492,01,000003,2008-09-22,,LHX,0000202058,,,,
005518,01,000003,1984-09-30,,HAS,0000046080,,,,
005543,01,000003,2009-01-30,,WELL,0000766704,,,,
005568,04,000003,2015-07-03,,KHC,0001637459,,,,
005597,01,000003,1964-03-31,,HSY,0000047111,,,,
005606,01,000003,1974-12-31,,HPQ,0000047217,,,,
005643,04,000003,2017-06-19,,HLT,0001585689,,,,
005680,01,000003,1988-03-31,,HD,0000354950,,,,
005709,01,000003,2009-03-04,,HRL,0000048465,,,,
005742,01,000003,1985-07-31,,CNP,0001130310,,,,
005783,01,000003,2015-07-01,,JBHT,0000728535,,,,
005786,01,000003,1997-08-06,,HBAN,0000049196,,,,
005878,01,000003,1986-02-28,,ITW,0000049826,,,,
005959,01,000003,2010-11-17,,TT,0001466258,,,,
006008,01,000003,1976-12-31,,INTC,0000050863,,,,
006066,01,000003,1964-03-31,,IBM,0000051143,2023-02-28,10-K,INTERNATIONAL BUSINESS MACHINES CORP,edgar/data/51143/0001558370-23-002376.txt
006078,01,000003,1976-03-31,,IFF,0000051253,,,,
006104,01,000003,1964-03-31,,IP,0000051434,,,,
006216,01,000003,2007-10-26,,J,0000052988,,,,
006266,01,000003,1973-06-30,,JNJ,0000200406,,,,
006268,01,000003,1986-05-31,,JCI,0000833444,,,,
006304,01,000003,1997-09-15,,KLAC,0000319201,,,,
006310,04,000003,2012-05-25,,KMI,0001506307,,,,
006338,01,000003,2018-06-05,,EVRG,0001711269,,,,
006435,01,000003,1964-03-31,,KMB,0000055785,,,,
006502,01,000003,1964-03-31,,KR,0000056873,,,,
006565,01,000003,2012-06-05,,LRCX,0000707549,,,,
006669,01,000003,2005-10-04,,LEN,0000920760,,,,
006730,01,000003,1970-12-31,,LLY,0000059478,,,,
006774,01,000003,1984-07-31,,LMT,0000936468,,,,
006781,01,000003,1995-05-10,,L,0000060086,,,,
006829,01,000003,1984-02-29,,LOW,0000060667,,,,
007063,01,000003,2007-03-20,,HST,0001070750,,,,
007065,01,000003,1987-08-31,,MRSH,0000062709,,,,
007085,01,000003,1981-06-30,,MAS,0000062996,,,,
007146,01,000003,2003-03-21,,MKC,0000063754,,,,
007154,01,000003,1970-06-30,,MCD,0000063908,,,,
007163,01,000003,1964-03-31,,SPGI,0000064040,,,,
007171,01,000003,1999-01-13,,MCK,0000927653,,,,
007228,01,000003,1986-10-31,,MDT,0001613103,,,,
007241,01,000003,1964-03-31,,CVS,0000064803,,,,
007257,01,000003,1964-03-31,,MRK,0000310158,,,,
007343,01,000003,1994-09-27,,MU,0000723125,,,,
007366,01,000003,1964-03-31,,ETR,0000065984,,,,
007435,01,000003,1964-03-31,,MMM,0000066740,,,,
007585,01,000003,1964-03-31,,MSI,0000068505,,,,
007637,01,000003,2004-04-23,,VTRS,0001792044,,,,
007647,01,000003,1976-06-30,,BAC,0000070858,,,,
007881,01,000003,1969-06-30,,NEM,0001164727,,,,
007906,01,000003,1988-11-30,,NKE,0000320187,,,,
007921,01,000003,2022-02-15,,NDSN,0000072331,,,,
007923,01,000003,1964-03-31,,NSC,0000702165,,,,
007970,01,000003,2009-03-17,,ES,0000072741,,,,
007974,01,000003,2000-11-02,,NI,0001111711,,,,
007977,01,000003,1964-03-31,,XEL,0000072903,,,,
007982,01,000003,1998-01-30,,NTRS,0000073124,,,,
007985,01,000003,1985-06-30,,NOC,0001133421,,,,
008007,01,000003,1976-06-30,,WFC,0000072971,,,,
008030,01,000003,1985-04-30,,NUE,0000073309,,,,
008068,01,000003,1982-12-31,,OXY,0000797468,,,,
008099,01,000003,1964-03-31,,FE,0001031296,,,,
008151,01,000003,2010-03-15,,OKE,0001039684,,,,
008245,01,000003,1988-04-30,,PNC,0000713676,,,,
008247,01,000003,1964-03-31,,PPG,0000079879,,,,
008253,01,000003,1980-12-31,,PCAR,0000075362,,,,
008264,01,000003,2022-10-03,,PCG,0001004980,,,,
008272,01,000003,1964-03-31,,SRE,0001032208,,,,
008358,01,000003,1985-11-30,,PH,0000076334,,,,
008402,01,000003,1998-10-01,,PAYX,0000723531,,,,
008455,01,000003,1995-11-27,,PPL,0000922224,,,,
008463,01,000003,2012-10-01,,PNR,0000077360,,,,
008479,01,000003,1964-03-31,,PEP,0000077476,,,,
008530,01,000003,1964-03-31,,PFE,0000078003,,,,
008539,01,000003,1964-03-31,,EXC,0001109357,,,,
008543,01,000003,1964-03-31,,MO,0000764180,,,,
008549,01,000003,1964-03-31,,COP,0001163165,,,,
008762,01,000003,1964-03-31,,PG,0000080424,,,,
008810,01,000003,1964-03-31,,PEG,0000788784,,,,
008823,01,000003,1984-04-30,,PHM,0000822416,,,,
008898,01,000003,2017-03-20,,RJF,0000720005,,,,
009203,01,000003,1964-03-31,,ROK,0001024478,,,,
009225,01,000003,2018-10-01,,ROL,0000084839,,,,
009248,01,000003,2009-12-21,,ROST,0000745732,,,,
009465,01,000003,1965-03-31,,SLB,0000087347,,,,
009667,01,000003,1964-06-30,,SHW,0000089800,,,,
009771,02,000003,2017-07-26,,AOS,0000091142,,,,
009777,01,000003,2008-11-06,,SJM,0000091419,,,,
009778,01,000003,1982-09-30,,SNA,0000091440,,,,
009783,01,000003,1994-03-01,,KEY,0000091576,,,,
009846,01,000003,1964-03-31,,EIX,0000827052,,,,
009850,01,000003,1964-03-31,,SO,0000092122,,,,
009882,01,000003,1994-07-01,,LUV,0000092380,,,,
009899,01,000003,1983-11-30,,T,0000732717,,,,
010016,01,000003,1982-09-30,,SWK,0000093556,,,,
010035,01,000003,1997-08-18,,STT,0000093751,,,,
010096,01,000003,2005-08-19,,PSA,0001393311,,,,
010115,01,000003,2000-12-12,,SYK,0000310764,,,,
010247,01,000003,1986-12-31,,SYY,0000096021,,,,
010453,01,000003,2020-09-21,,TER,0000097210,,,,
010499,01,000003,1964-03-31,,TXN,0000097476,,,,
010519,01,000003,1978-12-31,,TXT,0000217346,,,,
010530,01,000003,1997-01-02,,TMO,0000097745,,,,
010614,01,000003,1989-04-30,,GL,0000320335,,,,
010789,01,000003,2020-06-22,,TYL,0000860731,,,,
010793,01,000003,2005-08-11,,TSN,0000100493,,,,
010795,04,000003,2015-09-03,,UAL,0000100517,,,,
010860,01,000003,1991-09-19,,AEE,0001002910,,,,
010867,01,000003,1964-03-31,,UNP,0000100885,,,,
010894,01,000003,2016-03-07,,UDR,0000074208,,,,
010903,01,000003,1994-07-01,,UNH,0000731766,,,,
010920,01,000003,2002-07-22,,UPS,0001090727,,,,
010983,01,000003,1964-03-31,,RTX,0000101829,,,,
011032,01,000003,2014-09-22,,UHS,0000352915,,,,
011228,01,000003,1999-07-01,,VMC,0001396009,,,,
011259,01,000003,1982-08-31,,WMT,0000104169,,,,
011376,01,000003,2020-05-22,,WST,0000105770,,,,
011399,01,000003,2009-07-01,,WDC,0000106040,,,,
011456,01,000003,1964-03-31,,WY,0000106535,,,,
011506,01,000003,1975-03-31,,WMB,0000107263,,,,
011550,01,000003,2008-10-31,,WEC,0000783325,,,,
011554,01,000003,2016-07-01,,LNT,0000352541,,,,
011672,01,000003,1985-09-30,,TJX,0000109198,,,,
011811,01,000003,2018-11-13,,JKHY,0000779152,,,,
011856,01,000003,1997-12-04,,TFC,0000092230,,,,
012124,01,000003,1995-09-22,,MS,0000895421,,,,
012138,01,000003,1999-10-13,,TROW,0001113169,,,,
012141,01,000003,1994-06-01,,MSFT,0000789019,,,,
012142,01,000003,1989-08-31,,ORCL,0001341439,,,,
012441,01,000003,2017-04-05,,IT,0000749251,,,,
012459,01,000003,2019-09-26,,NVR,0000906163,,,,
012540,01,000003,1997-05-06,,ADBE,0000796343,,,,
012635,01,000003,2001-04-02,,FISV,0000798354,,,,
013125,01,000003,2008-03-31,,DOC,0000765880,,,,
013341,01,000003,1997-08-04,,PGR,0000080661,,,,
013421,01,000003,2017-09-18,,CDNS,0000813672,,,,
013498,01,000003,1998-12-22,,CCL,0000815097,,,,
013714,03,000003,1994-09-01,,PSKY,0002041610,,,,
013721,01,000003,2013-06-24,,ZTS,0001555280,,,,
013988,01,000003,1997-06-02,,SCHW,0000316709,,,,
014225,01,000003,2008-09-15,,FAST,0000815556,,,,
014282,01,000003,2008-09-30,,APH,0000820313,,,,
014418,01,000003,2017-07-26,,MGM,0000789570,,,,
014477,01,000003,1998-07-17,,WM,0000823768,,,,
014590,02,000003,1995-07-31,,FCX,0000831259,,,,
014822,01,000003,2019-12-05,,WRB,0000011544,,,,
014824,01,000003,1997-12-18,,CINF,0000020286,,,,
014934,01,000003,2000-08-30,,DVN,0001090012,,,,
014960,01,000003,2004-11-01,,LH,0000920148,,,,
015247,01,000003,2004-04-29,,VLO,0001035002,,,,
015267,01,000003,2019-08-09,,IEX,0000832101,,,,
015414,01,000003,2021-08-30,,TECH,0000842023,,,,
015417,01,000003,2021-09-20,,BRO,0000079282,,,,
015855,01,000003,2003-03-31,,GEN,0000849399,,,,
016101,01,000003,2013-01-02,,ABBV,0001551152,,,,
016478,01,000003,2000-11-02,,EOG,0000821189,,,,
016721,01,000003,2002-07-22,,EA,0000712515,,,,
017874,01,000003,2019-07-15,,TMUS,0001283699,,,,
017928,01,000003,2017-08-29,,IQV,0001478242,,,,
018043,01,000003,2013-07-01,,NWSA,0001564708,,,,
018699,01,000003,2021-04-20,,PTC,0000857005,,,,
020232,01,000003,2018-11-06,,KEYS,0001601046,,,,
020548,01,000003,2008-06-23,,CTRA,0000858470,,,,
020686,01,000003,2015-11-18,,SYF,0001601712,,,,
020748,01,000003,2018-08-28,,ANET,0001596532,,,,
020779,01,000003,1993-12-01,,CSCO,0000858877,,,,
020904,01,000003,2016-03-30,,HOLX,0000859737,,,,
021825,01,000003,2016-02-01,,CFG,0000759944,,,,
022260,04,000003,2015-01-27,,HCA,0000860730,,,,
022815,01,000003,2021-01-21,,TRMB,0000864749,,,,
023809,01,000003,1997-01-02,,AZO,0000866787,,,,
023812,01,000003,2013-05-01,,REGN,0000872589,,,,
024197,01,000003,2017-01-05,,IDXX,0000874716,,,,
024216,01,000003,1998-10-02,,AES,0000874761,,,,
024316,01,000003,2012-06-29,,MNST,0000865752,,,,
024344,01,000003,2013-09-23,,VRTX,0000875320,,,,
024405,01,000003,2019-12-23,,ZBRA,0000877212,,,,
024468,01,000003,2003-11-13,,BIIB,0000875045,,,,
024616,01,000003,2015-07-20,,PYPL,0001633917,,,,
024617,01,000003,2019-12-09,,ODFL,0000878927,,,,
024731,01,000003,2006-04-03,,KIM,0000879101,,,,
024800,01,000003,1999-07-22,,QCOM,0000804328,,,,
024856,01,000003,2004-07-01,,GILD,0000882095,,,,
024925,01,000003,2009-12-23,,ROP,0000882835,,,,
024975,01,000003,2017-03-16,,SNPS,0000883241,,,,
025124,01,000003,1992-07-01,,LIN,0001707925,,,,
025279,01,000003,1995-02-24,,BSX,0000885725,,,,
025313,01,000003,2019-12-23,,STE,0001757898,,,,
025340,01,000003,2005-07-05,,DHI,0000882184,,,,
025434,01,000003,2000-06-08,,SBUX,0000829224,,,,
026156,01,000003,2015-11-02,,HPE,0001645590,,,,
026590,01,000003,2016-07-05,,FTV,0001659166,,,,
027914,01,000003,1995-12-01,,HUM,0000049071,,,,
027928,01,000003,2000-12-11,,INTU,0000896878,,,,
027965,01,000003,2007-09-07,,MCHP,0000827054,,,,
028034,01,000003,2010-07-15,,CB,0000896159,,,,
028180,01,000003,2009-03-27,,ORLY,0000898173,,,,
028191,01,000003,2014-12-05,,RCL,0000884887,,,,
028192,01,000003,2016-11-01,,HWM,0000004281,2023-02-14,10-K,Howmet Aerospace Inc.,edgar/data/4281/0000004281-23-000004.txt
028320,02,000003,2019-09-23,,CDW,0001402057,,,,
028349,01,000003,1995-07-13,,ALL,0000899051,,,,
028629,01,000003,2022-04-04,,CPT,0000906345,,,,
028733,01,000003,2001-12-03,,EQR,0000906107,,,,
028877,02,000003,2022-06-21,,KDP,0001418135,,,,
028930,02,000003,1998-05-21,,MAR,0001048286,,,,
029028,01,000003,1993-10-01,,COST,0000909832,,,,
029099,01,000003,2017-03-02,,REG,0000910606,,,,
029127,01,000003,2017-02-28,,INCY,0000879169,,,,
029389,01,000003,2002-06-26,,SPG,0001063761,,,,
029649,01,000003,2016-12-02,,MAA,0000912595,,,,
029733,01,000003,2014-07-02,,MLM,0000916076,,,,
029736,01,000003,2014-01-24,,TSCO,0000916365,,,,
029751,01,000003,2016-07-01,,ALB,0000915913,,,,
029804,02,000003,2008-08-21,,IVZ,0000914208,,,,
029875,01,000003,2007-01-10,,AVB,0000915912,,,,
029901,01,000003,2018-07-02,,CPRT,0000900075,,,,
029984,01,000003,2003-07-17,,PLD,0001045609,,,,
030004,01,000003,2022-09-19,,INVH,0001687229,,,,
030098,02,000003,2020-03-03,,IR,0001699150,,,,
030293,01,000003,2014-04-02,,ESS,0000920522,,,,
030822,01,000003,2015-04-07,,O,0000726728,,,,
030990,01,000003,1998-07-01,,COF,0000927628,,,,
031587,01,000003,2011-12-19,,DLTR,0000935703,,,,
031673,01,000003,2001-08-30,,COR,0001140859,,,,
031846,01,000003,1995-05-30,,DRI,0000940944,,,,
031887,01,000003,2017-07-26,,RMD,0000943819,,,,
032106,01,000003,2017-07-07,,BKR,0001701605,,,,
032580,01,000003,2022-06-08,,VICI,0001705696,,,,
034410,01,000003,2021-07-21,,MRNA,0001682852,,,,
034443,01,000003,2019-04-02,,DOW,0001751788,,,,
034636,01,000003,2019-03-19,,FOXA,0001754301,,,,
035168,01,000003,2019-06-03,,CTVA,0001755672,,,,
036190,01,000003,2020-04-03,,OTIS,0001781335,,,,
036191,01,000003,2020-04-03,,CARR,0001783180,,,,
040614,01,000003,2022-02-02,,CEG,0001868275,,,,
060979,01,000003,2019-02-27,,WAB,0000943452,,,,
061302,01,000003,2022-11-01,,ACGL,0000947484,,,,
061388,01,000003,2017-06-19,,EG,0001095073,,,,
061420,01,000003,2020-10-07,,POOL,0000945841,,,,
061483,01,000003,2008-07-31,,DVA,0000927066,,,,
061494,01,000003,2015-03-18,,HSIC,0001000228,,,,
061567,01,000003,2006-01-05,,EL,0001001250,,,,
061574,01,000003,2002-01-02,,WAT,0001000697,,,,
061591,01,000003,1999-06-25,,NTAP,0001002047,,,,
061739,01,000003,1995-12-20,,HIG,0000874766,,,,
062374,01,000003,2009-01-06,,IRM,0001020569,,,,
062689,05,000003,2002-08-21,,TRV,0000086312,,,,
063172,01,000003,2021-12-20,,FDS,0001013237,,,,
064030,01,000003,2022-12-22,,STLD,0001022671,,,,
064166,01,000003,2002-12-12,,DGX,0001022079,,,,
064630,01,000003,2018-03-19,,TTWO,0000946581,,,,
064768,01,000003,2005-11-21,,AMZN,0001018724,,,,
064821,01,000003,2017-03-20,,ARE,0001035443,,,,
064891,01,000003,2007-02-02,,RL,0001037038,,,,
064925,01,000003,2006-04-03,,BXP,0001037540,,,,
065417,01,000003,1997-10-07,,YUM,0001041061,,,,
065609,01,000003,2007-03-02,,CHRW,0001043277,,,,
065772,01,000003,2016-09-06,,MTD,0001037646,,,,
066065,01,000003,2014-09-22,,URI,0001067701,,,,
066368,01,000003,2006-02-01,,VRSN,0001014473,,,,
066446,01,000003,2009-07-01,,PWR,0001050915,,,,
100243,03,000003,2019-06-12,,AMCR,0001748790,,,,
104432,01,000003,2017-10-13,,NCLH,0001513761,,,,
105365,01,000003,2007-11-19,,AMT,0001053507,,,,
110179,01,000003,2009-03-04,,VTR,0000740260,,,,
111864,01,000003,2006-11-17,,CTSH,0001058290,,,,
112111,01,000003,2022-09-19,,CSGP,0001057352,,,,
112168,01,000003,2008-12-05,,RSG,0001060391,,,,
113490,01,000003,2012-03-14,,CCI,0001051470,,,,
114524,01,000003,2002-07-22,,EBAY,0001065088,,,,
114628,01,000003,2002-07-22,,GS,0000886982,,,,
117768,01,000003,2001-11-30,,NVDA,0001045810,,,,
118122,04,000003,2012-12-24,,APTV,0001521332,,,,
119314,01,000003,2009-11-06,,BKNG,0001075531,,,,
121077,01,000003,2010-12-20,,FFIV,0001048695,,,,
121382,01,000003,2017-09-01,,SBAC,0001034054,,,,
124434,01,000003,2011-04-04,,BLK,0002012383,,,,
125595,01,000003,2007-07-12,,AKAM,0001086222,,,,
126136,03,000003,2016-09-08,,CHTR,0001091667,,,,
126296,02,000003,2007-10-02,,EXPE,0001324424,,,,
126554,01,000003,2000-06-05,,A,0001090872,,,,
126721,01,000003,2020-06-22,,TDY,0001094285,,,,
128978,01,000003,2017-07-26,,PKG,0000075677,,,,
133366,01,000003,2011-04-01,,EW,0001099800,,,,
133768,01,000003,2000-12-11,,MET,0001099219,,,,
134932,01,000003,2022-06-21,,ON,0001097864,,,,
135990,03,000003,2010-01-29,,NRG,0001013871,,,,
136725,01,000003,2008-06-02,,ISRG,0001035267,,,,
137131,01,000003,2021-05-14,,CRL,0001100682,,,,
138743,01,000003,2015-03-23,,EQIX,0001101239,,,,
139665,01,000003,2000-10-03,,MCO,0001059556,,,,
140541,01,000003,2004-09-01,,TPR,0001116132,,,,
141384,01,000003,2017-06-19,,ALGN,0001097149,,,,
141459,01,000003,2012-12-12,,GRMN,0001121788,,,,
141913,01,000003,2016-04-25,,GPN,0001123360,,,,
142953,01,000003,2007-04-02,,MDLZ,0001103982,,,,
143356,01,000003,2002-07-22,,PRU,0001137774,,,,
143357,01,000003,2011-07-06,,ACN,0001467373,,,,
144009,01,000003,2016-01-05,,WTW,0001140536,,,,
144559,01,000003,2001-08-07,,ZBH,0001136869,,,,
145046,01,000003,2002-07-25,,ELV,0001156039,,,,
145552,01,000003,2016-03-30,,CNC,0001071739,,,,
145701,01,000003,2002-07-22,,PFG,0001126328,,,,
147579,01,000003,2010-12-20,,NFLX,0001065280,,,,
148349,01,000003,2016-06-03,,TDG,0001260221,,,,
149070,01,000003,2006-08-11,,CME,0001156375,,,,
149318,01,000003,2008-11-14,,WYNN,0001174922,,,,
149337,01,000003,2008-10-22,,NDAQ,0001120193,,,,
150937,01,000003,2012-07-02,,STX,0001137789,,,,
157057,01,000003,2007-04-10,,AIZ,0001267238,,,,
157855,01,000003,2008-09-15,,CRM,0001108524,,,,
160211,02,000003,2020-05-12,,DPZ,0001286681,,,,
160225,01,000003,2008-07-18,,MA,0001141391,,,,
160329,01,000003,2006-04-03,,GOOGL,0001652044,,,,
160479,01,000003,2016-01-19,,EXR,0001289490,,,,
160888,01,000003,2021-02-12,,MPWR,0001280452,,,,
160991,01,000003,2016-05-18,,DLR,0001297996,,,,
161844,01,000003,2019-10-03,,LVS,0001300514,,,,
162129,01,000003,2011-09-26,,MOS,0001285785,,,,
162887,01,000003,2020-05-12,,DXCM,0001093557,,,,
163610,01,000003,2007-09-26,,ICE,0001571949,,,,
163946,01,000003,2008-08-27,,CF,0001324404,,,,
164296,01,000003,2010-03-01,,WBD,0001437107,,,,
164708,01,000003,2005-10-03,,AMP,0000820027,,,,
165123,01,000003,2019-08-09,,LDOS,0001336920,,,,
165746,01,000003,2019-12-23,,LYV,0001335258,,,,
165914,01,000003,2011-04-28,,CMG,0001058090,,,,
165993,01,000003,2006-11-10,,FIS,0001136893,,,,
170617,01,000003,2013-12-23,,META,0001326801,,,,
170750,01,000003,2018-12-03,,FANG,0001539838,,,,
170841,01,000003,2012-05-01,,PSX,0001534701,,,,
171007,01,000003,2019-11-21,,NOW,0001373715,,,,
175404,01,000003,2022-12-19,,FSLR,0001274494,,,,
176928,01,000003,2018-06-18,,BR,0001383312,,,,
177267,02,000003,2011-10-17,,TEL,0001385157,,,,
178507,01,000003,2018-04-04,,MSCI,0001408198,,,,
178704,01,000003,2016-04-18,,ULTA,0001403568,,,,
179437,01,000003,2016-03-04,,AWK,0001410636,,,,
179534,01,000003,2009-12-21,,V,0001403161,,,,
179621,01,000003,2008-03-31,,PM,0001413329,,,,
180652,01,000003,2015-10-08,,VRSK,0001442145,,,,
180711,01,000003,2014-05-08,,AVGO,0001730168,,,,
183377,01,000003,2018-10-11,,FTNT,0001262039,,,,
183736,01,000003,2021-03-22,,GNRC,0001474735,,,,
184500,01,000003,2017-03-01,,CBOE,0001374310,,,,
184700,01,000003,2018-06-20,,CPAY,0001175454,,,,
184725,01,000003,2021-03-22,,NXPI,0001413447,,,,
184996,01,000003,2020-12-21,,TSLA,0001318605,,,,
185532,01,000003,2022-10-12,,TRGP,0001389170,,,,
186310,01,000003,2018-01-03,,HII,0001501585,,,,
186989,01,000003,2011-07-01,,MPC,0001510295,,,,
187697,01,000003,2021-12-14,,EPAM,0001352010,,,,
189491,01,000003,2011-11-01,,XYL,0001524472,,,,
260774,01,000003,2006-11-10,,CBRE,0001138118,,,,
294524,01,000003,2012-09-05,,LYB,0001489393,,,,
316056,01,000003,2013-12-02,,ALLE,0001579241,,,,
